"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"216","im still mad he got a ring before melo and chris paul lmaooo",FALSE,0,NA,2017-12-11 20:42:39,FALSE,NA,"940320949139857408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Keefista2",22,TRUE,FALSE,NA,NA
"217","Not to be overly dramatic or anything but I think Chris Paul James Harden and LeBron James on the same team would be a",FALSE,0,NA,2017-12-11 20:42:14,FALSE,NA,"940320844911468545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dr13Gamer",31,TRUE,FALSE,NA,NA
"218","im still mad he got a ring before melo and chris paul lmaooo",FALSE,0,NA,2017-12-11 20:42:09,FALSE,NA,"940320823113633792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CJ2K98",22,TRUE,FALSE,NA,NA
"219","Most rebounds per game in a season by a player listed ator shorter 

T Raptors Kyle Lowry",FALSE,0,NA,2017-12-11 20:41:41,FALSE,NA,"940320705811492865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nickreiis_",4,TRUE,FALSE,NA,NA
"220","If you missed last nights talk withand son the GOP tax plan watch it on demand on your lunch",FALSE,0,NA,2017-12-11 20:41:10,FALSE,NA,"940320577092333568",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","JaneMarmara10",49,TRUE,FALSE,NA,NA
"221","If you missed last nights talk withand son the GOP tax plan watch it on demand on your lunch",FALSE,0,NA,2017-12-11 20:40:24,FALSE,NA,"940320383886032901",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SooBeeinNY",49,TRUE,FALSE,NA,NA
"222","im still mad he got a ring before melo and chris paul lmaooo",FALSE,98,NA,2017-12-11 20:39:51,FALSE,NA,"940320246149369859",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LILAFRIMANE",22,FALSE,FALSE,NA,NA
"223","Repeatedly muttering Paul blart in a kiwi accent to myself",FALSE,0,NA,2017-12-11 20:39:35,FALSE,NA,"940320179573133319",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chris_anna",1,TRUE,FALSE,NA,NA
"224","",FALSE,3,"nigelpauley",2017-12-11 20:39:21,TRUE,"940316428602892288","940320119380639744","20600943","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","raymasseytweets",1,FALSE,FALSE,NA,NA
"225","Just favorited Paul van Dyks VONYC SessionsChris Metcalfe by Paul van Dyk on Mixcloud",FALSE,0,NA,2017-12-11 20:38:52,FALSE,NA,"940319997825634304",NA,"<a href=""https://www.mixcloud.com"" rel=""nofollow"">Mixcloud</a>","marcelosurich",0,FALSE,FALSE,NA,NA
"226","Jomo ian Paul or Chris wood Im hoping",FALSE,3,"BloodyNightCon",2017-12-11 20:38:28,FALSE,"940319688265027584","940319896273149952","195516755","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheOriginalSasX",0,FALSE,FALSE,NA,NA
"227","If you missed last nights talk withand son the GOP tax plan watch it on demand on your lunch",FALSE,0,NA,2017-12-11 20:36:16,FALSE,NA,"940319344696766464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lynneknieling",49,TRUE,FALSE,NA,NA
"228","No one reasonable thinks Chris Paul is inherently a loser There are however reasonable arguments that its hard to win",FALSE,0,NA,2017-12-11 20:35:45,FALSE,NA,"940319213809528838",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","APowerlifter",5,TRUE,FALSE,NA,NA
"229","If you missed last nights talk withand son the GOP tax plan watch it on demand on your lunch",FALSE,0,NA,2017-12-11 20:34:21,FALSE,NA,"940318860321832961",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","msberkeley",49,TRUE,FALSE,NA,NA
"230","Should LeBron James try to team up with HardenChris Paul",FALSE,2,NA,2017-12-11 20:33:42,FALSE,NA,"940318696626585601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","therealdanzel",0,FALSE,FALSE,NA,NA
"231","Most rebounds per game in a season by a player listed ator shorter 

T Raptors Kyle Lowry",FALSE,0,NA,2017-12-11 20:32:16,FALSE,NA,"940318339154501635",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AHume92",4,TRUE,FALSE,NA,NA
"232","Favorited Paul van Dyks VONYC SessionsChris Metcalfeby Paul van Dyk",FALSE,0,NA,2017-12-11 20:31:46,FALSE,NA,"940318212259971072",NA,"<a href=""https://www.mixcloud.com"" rel=""nofollow"">Mixcloud</a>","AndresGaleanoDj",0,FALSE,FALSE,NA,NA
